APT,Origin,TTPs
Magic Hound,Iran,"T1056.001,T1567,T1589.001,T1547.001,T1059.001,T1016.002,T1588.002,T1584.001,T1059.003,T1572,T1585.002,T1591.001,T1071,T1071.001,T1486,T1016.001,T1586.002,T1053.005,T1592.002,T1021.001,T1087.003,T1105,T1190,T1204.002,T1218.011,T1027.010,T1046,T1590.005,T1113,T1573,T1059.005,T1595.002,T1036.010,T1589.002,T1204.001,T1102.002,T1033,T1098.002,T1070.004,T1027.013,T1566.002,T1078.001,T1083,T1016,T1036.005,T1098.007,T1598.003,T1562.002,T1562.001,T1049,T1114,T1003.001,T1570,T1136.001,T1057,T1562.004,T1114.002,T1571,T1070.003,T1082,T1114.001,T1505.003,T1090,T1036.004,T1583.001,T1018,T1112,T1482,T1589,T1078.002,T1566.003,T1560.001,T1585.001,T1564.003,T1562,T1005,T1047,T1583.006,T1189"
APT29,Russia,"T1621,T1003.002,T1588.002,T1090.004,T1528,T1568,T1068,T1546.003,T1547.001,T1136.003,T1098.005,T1587.003,T1005,T1105,T1651,T1566.001,T1078.004,T1053.005,T1016.001,T1587.001,T1583.006,T1090.003,T1037,T1027.006,T1070.004,T1203,T1550.003,T1204.001,T1036.005,T1110.003,T1114.002,T1027.001,T1556.007,T1059.001,T1133,T1037.004,T1021.007,T1595.002,T1566.002,T1070.006,T1586.003,T1090.002,T1573,T1047,T1110.001,T1199,T1566.003,T1078,T1505.003,T1059.006,T1665,T1218.005,T1003.004,T1190,T1553.005,T1649,T1087.004,T1098.002,T1078.003,T1546.008,T1059.009,T1586.002,T1562.008,T1204.002,T1548.002,T1027.002"
EXOTIC LILY,Unknown,"T1566.003,T1585.001,T1566.001,T1203,T1566.002,T1204.002,T1585.002,T1102,T1594,T1204.001,T1597,T1583.001,T1593.001,T1589.002,T1608.001"
Cobalt Group,Russia,"T1566.001,T1105,T1027.010,T1053.005,T1218.008,T1195.002,T1518.001,T1559.002,T1204.002,T1068,T1218.003,T1218.010,T1055,T1059.001,T1588.002,T1021.001,T1059.005,T1203,T1070.004,T1548.002,T1220,T1071.004,T1059.007,T1566.002,T1204.001,T1059.003,T1071.001,T1547.001,T1572,T1573.002,T1543.003,T1219,T1046,T1037.001"
Andariel,North Korea,"T1049,T1203,T1005,T1590.005,T1189,T1057,T1592.002,T1588.001,T1204.002,T1566.001,T1027.003,T1105"
HAFNIUM,China,"T1592.004,T1110.003,T1105,T1583.006,T1560.001,T1005,T1583.005,T1033,T1213.002,T1068,T1584.005,T1059.003,T1057,T1003.001,T1530,T1119,T1590,T1505.003,T1589.002,T1555.006,T1593.003,T1567.002,T1114.002,T1218.011,T1078.003,T1059.001,T1070.001,T1564.001,T1016.001,T1016,T1590.005,T1199,T1078.004,T1083,T1003.003,T1098,T1136.002,T1071.001,T1018,T1550.001,T1190,T1095,T1132.001,T1583.003"
APT39,Iran,"T1046,T1547.001,T1090.002,T1140,T1056.001,T1005,T1059.001,T1115,T1003,T1553.006,T1546.010,T1547.009,T1135,T1569.002,T1027.013,T1588.002,T1021.001,T1033,T1027.002,T1041,T1204.002,T1053.005,T1070.004,T1102.002,T1560.001,T1505.003,T1105,T1059.010,T1204.001,T1555,T1113,T1003.001,T1018,T1071.004,T1059,T1074.001,T1083,T1012,T1110,T1197,T1136.001,T1059.006,T1036.005,T1071.001,T1090.001,T1078,T1056,T1566.002,T1566.001,T1021.002,T1190,T1059.005,T1021.004"
MuddyWater,Iran,"T1566.002,T1137.001,T1574.001,T1588.002,T1218.005,T1047,T1003.004,T1566.001,T1559.001,T1059.003,T1218.003,T1036.005,T1562.001,T1087.002,T1059.007,T1583.006,T1059.005,T1016,T1547.001,T1140,T1559.002,T1027.010,T1027.004,T1518.001,T1074.001,T1113,T1071.001,T1518,T1083,T1548.002,T1105,T1573.001,T1555.003,T1560.001,T1059.006,T1049,T1082,T1555,T1057,T1132.001,T1104,T1204.001,T1027.003,T1003.001,T1053.005,T1090.002,T1204.002,T1033,T1219,T1041,T1059.001,T1102.002,T1218.011,T1552.001,T1190,T1210,T1203,T1003.005"
APT38,North Korea,"T1486,T1055,T1033,T1112,T1049,T1070.004,T1036.006,T1056.001,T1518.001,T1543.003,T1548.002,T1189,T1083,T1059.003,T1140,T1059.005,T1529,T1204.001,T1071.001,T1105,T1562.003,T1027.002,T1217,T1070.001,T1218.005,T1070.006,T1485,T1110,T1135,T1553.005,T1082,T1565.002,T1561.002,T1036.003,T1053.005,T1588.002,T1505.003,T1115,T1562.004,T1218.011,T1565.003,T1583.001,T1106,T1218.001,T1562.001,T1204.002,T1565.001,T1005,T1059.001,T1053.003,T1566.001,T1218.007,T1569.002,T1480.002,T1057"
Transparent Tribe,Pakistan,"T1189,T1608.004,T1204.002,T1027.013,T1568,T1584.001,T1059.005,T1566.002,T1036.005,T1583.001,T1564.001,T1203,T1566.001,T1204.001"
